ORIGEM;DESTINO;DISTANCIA
0;1;0.00
0;2;2.84
0;3;0.00
0;4;0.00
0;5;0.87
0;6;0.00
0;7;1.51
0;8;0.00
0;9;0.00
0;10;4.60
0;11;5.67
1;0;0.00
1;2;2.84
1;3;0.00
1;4;0.00
1;5;0.87
1;6;0.00
1;7;1.51
1;8;0.00
1;9;0.00
1;10;4.60
1;11;5.67
2;0;2.84
2;1;2.84
2;3;2.84
2;4;2.84
2;5;2.11
2;6;2.84
2;7;2.89
2;8;2.84
2;9;2.84
2;10;1.77
2;11;2.90
3;0;0.00
3;1;0.00
3;2;2.84
3;4;0.00
3;5;0.87
3;6;0.00
3;7;1.51
3;8;0.00
3;9;0.00
3;10;4.60
3;11;5.67
4;0;0.00
4;1;0.00
4;2;2.84
4;3;0.00
4;5;0.87
4;6;0.00
4;7;1.51
4;8;0.00
4;9;0.00
4;10;4.60
4;11;5.67
5;0;0.87
5;1;0.87
5;2;2.11
5;3;0.87
5;4;0.87
5;6;0.87
5;7;1.14
5;8;0.87
5;9;0.87
5;10;3.87
5;11;5.00
6;0;0.00
6;1;0.00
6;2;2.84
6;3;0.00
6;4;0.00
6;5;0.87
6;7;1.51
6;8;0.00
6;9;0.00
6;10;4.60
6;11;5.67
7;0;1.51
7;1;1.51
7;2;2.89
7;3;1.51
7;4;1.51
7;5;1.14
7;6;1.51
7;8;1.51
7;9;1.51
7;10;4.56
7;11;5.75
8;0;0.00
8;1;0.00
8;2;2.84
8;3;0.00
8;4;0.00
8;5;0.87
8;6;0.00
8;7;1.51
8;9;0.00
8;10;4.60
8;11;5.67
9;0;0.00
9;1;0.00
9;2;2.84
9;3;0.00
9;4;0.00
9;5;0.87
9;6;0.00
9;7;1.51
9;8;0.00
9;10;4.60
9;11;5.67
10;0;4.60
10;1;4.60
10;2;1.77
10;3;4.60
10;4;4.60
10;5;3.87
10;6;4.60
10;7;4.56
10;8;4.60
10;9;4.60
10;11;1.21
11;0;5.67
11;1;5.67
11;2;2.90
11;3;5.67
11;4;5.67
11;5;5.00
11;6;5.67
11;7;5.75
11;8;5.67
11;9;5.67
11;10;1.21
